what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1328526829642
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1328526829698
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1328526829729
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1328526829777
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1328526829778
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1328526829817
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1328526829832
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1328526829850
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1328526829891
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1328526829956
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1328526829997
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1328526830041
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1328526830041
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1328526830072
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1328526830073
os,sysinfo,,,"win32",1328526830077
arch,sysinfo,,,"x86_64",1328526830077
ws,sysinfo,,,"win32",1328526830077
locale,sysinfo,,,"en_GB",1328526830077
processors,sysinfo,,,"4",1328526830077
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328526830077
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1328526830077
java.specification.name,sysinfo,,,"Java Platform API Specification",1328526830077
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328526830077
java.specification.version,sysinfo,,,"1.6",1328526830077
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1328526830077
java.version,sysinfo,,,"1.6.0_22",1328526830077
java.vm.info,sysinfo,,,"mixed mode",1328526830077
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1328526830077
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328526830077
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328526830077
java.vm.specification.version,sysinfo,,,"1.0",1328526830077
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1328526830077
java.vm.version,sysinfo,,,"17.1-b03",1328526830077
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1328526830189
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1328526830659
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328526835914
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328526861771
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328526864752
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328526864818
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1328526869445
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328526873807
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1328526878095
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1328526878097
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1328526878213
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1328526878279
